Type,Size,Threads,Solutions,FirstTime_s,TotalTime_s,MaxMemory_KB,CPU_Percent,Status
sparse,8,1,1767710,0,29.792,1708004,99,TIMEOUT
sparse,8,8,9140787,0,9140787,42729412,679,TIMEOUT
sparse,8,16,34176,0,29.8286,80613416,812,TIMEOUT
sparse,8,32,31971,0,29.7953,80223552,1308,TIMEOUT
sparse,8,48,17522,0,17522,76638620,1771,TIMEOUT
sparse,8,64,22982,0,29.7942,65469776,2051,TIMEOUT
sparse,16,1,0,0,29.7913,81674428,99,TIMEOUT
sparse,16,8,28526,0,28526,242724816,460,TIMEOUT
sparse,16,32,258,0,14.7916,38946044,1330,TIMEOUT
sparse,16,48,179,0,14.7906,36332304,1774,TIMEOUT
sparse,16,64,192,0,14.7919,32846288,2129,TIMEOUT
sparse,24,1,0,0,14.8013,24270424,99,TIMEOUT
