Dataset,Type,Size,Threads,TimeLimit_s,Time_s,Count,Status,MaxMemory_KB,CPU_Percent
enron,sparse,8,1,10,.012598213,0,OK,0,0
enron,sparse,8,4,10,.011794228,0,OK,0,0
enron,sparse,8,8,10,.012538548,0,OK,0,0
enron,sparse,8,16,10,.011863049,0,OK,0,0
enron,sparse,8,32,10,.011672982,0,OK,0,0
enron,sparse,8,48,10,.011640498,0,OK,0,0
enron,sparse,8,64,10,.011762985,0,OK,0,0
enron,sparse,16,1,10,.011900239,0,OK,0,0
enron,sparse,16,4,10,.012118009,0,OK,0,0
enron,sparse,16,8,10,.011868615,0,OK,0,0
enron,sparse,16,16,10,.012166212,0,OK,0,0
enron,sparse,16,32,10,.011770995,0,OK,0,0
enron,sparse,16,48,10,.011970726,0,OK,0,0
enron,sparse,16,64,10,.011975429,0,OK,0,0
enron,sparse,24,1,10,.011741425,0,OK,0,0
enron,sparse,24,4,10,.011805827,0,OK,0,0
enron,sparse,24,8,10,.011948811,0,OK,0,0
enron,sparse,24,16,10,.011673056,0,OK,0,0
enron,sparse,24,32,10,.011975396,0,OK,0,0
enron,sparse,24,48,10,.011795269,0,OK,0,0
enron,sparse,24,64,10,.012204362,0,OK,0,0
enron,sparse,32,1,10,.011949206,0,OK,0,0
enron,sparse,32,4,10,.011691543,0,OK,0,0
enron,sparse,32,8,10,.011799145,0,OK,0,0
enron,sparse,32,16,10,.012097821,0,OK,0,0
enron,sparse,32,32,10,.012117367,0,OK,0,0
enron,sparse,32,48,10,.012105229,0,OK,0,0
enron,sparse,32,64,10,.011767182,0,OK,0,0
enron,dense,8,1,10,.012090137,0,OK,0,0
enron,dense,8,4,10,.011875505,0,OK,0,0
enron,dense,8,8,10,.011847180,0,OK,0,0
enron,dense,8,16,10,.012055119,0,OK,0,0
enron,dense,8,32,10,.012034812,0,OK,0,0
enron,dense,8,48,10,.011824188,0,OK,0,0
enron,dense,8,64,10,.011788011,0,OK,0,0
enron,dense,16,1,10,.011865599,0,OK,0,0
enron,dense,16,4,10,.011694188,0,OK,0,0
enron,dense,16,8,10,.012086099,0,OK,0,0
enron,dense,16,16,10,.011750965,0,OK,0,0
enron,dense,16,32,10,.012013273,0,OK,0,0
enron,dense,16,48,10,.011786178,0,OK,0,0
enron,dense,16,64,10,.012121499,0,OK,0,0
enron,dense,24,1,10,.011895134,0,OK,0,0
enron,dense,24,4,10,.011795914,0,OK,0,0
enron,dense,24,8,10,.011752507,0,OK,0,0
enron,dense,24,16,10,.011865715,0,OK,0,0
enron,dense,24,32,10,.012059116,0,OK,0,0
enron,dense,24,48,10,.012021316,0,OK,0,0
enron,dense,24,64,10,.011993452,0,OK,0,0
enron,dense,32,1,10,.011990795,0,OK,0,0
enron,dense,32,4,10,.011835310,0,OK,0,0
enron,dense,32,8,10,.011741763,0,OK,0,0
enron,dense,32,16,10,.011725120,0,OK,0,0
enron,dense,32,32,10,.011982682,0,OK,0,0
enron,dense,32,48,10,.011956376,0,OK,0,0
enron,dense,32,64,10,.011871806,0,OK,0,0
