Type,Size,Threads,Solutions,FirstTime_s,TotalTime_s,MaxMemory_KB,CPU_Percent,Status
sparse,8,1,1633747,0,29.8281,1708044,99,TIMEOUT
sparse,8,8,599503,0,29.8289,193622864,482,TIMEOUT
sparse,8,16,TIMEOUT,,,78731772,1213,TIMEOUT
sparse,8,32,41707,0,29.8454,87394164,1392,TIMEOUT
sparse,8,48,25098,0,29.8316,79702936,1815,TIMEOUT
sparse,8,64,48470,0,29.8323,74850304,2065,TIMEOUT
sparse,16,1,0,0,29.8352,81572712,99,TIMEOUT
sparse,16,8,TIMEOUT,,,217129308,456,TIMEOUT
sparse,16,16,2215,0,29.7873,169503300,779,TIMEOUT
sparse,16,32,1740,0,29.8247,85354448,1412,TIMEOUT
sparse,16,48,866,0,29.8268,80409652,1774,TIMEOUT
sparse,16,64,635,0,29.8267,73829824,2028,TIMEOUT
sparse,24,1,0,0,29.8262,66935392,99,TIMEOUT
sparse,24,8,18908,0,29.8163,235077080,451,TIMEOUT
sparse,24,16,TIMEOUT,,,173550212,781,TIMEOUT
sparse,24,32,12395,0,29.8241,86343376,1369,TIMEOUT
sparse,24,48,284,0,29.8282,77077132,1836,TIMEOUT
sparse,24,64,63,0,29.8246,73586528,2017,TIMEOUT
sparse,32,1,739,0,29.8285,71887688,99,TIMEOUT
sparse,32,8,29.8167,TIMEOUT,,240520684,453,TIMEOUT
sparse,32,16,438,0,29.8194,160032960,782,TIMEOUT
sparse,32,32,163,0,29.8293,86047140,1378,TIMEOUT
sparse,32,48,53,0,29.8284,77551224,1823,TIMEOUT
sparse,32,64,49,0,29.8246,71960988,2066,TIMEOUT
dense,8,1,1388202,0,29.8266,2117592,99,TIMEOUT
dense,8,8,29.8398,TIMEOUT,,74457628,656,TIMEOUT
dense,8,16,TIMEOUT,,,97760080,1108,TIMEOUT
dense,8,32,19304,0,29.8451,86542372,1427,TIMEOUT
dense,8,48,16908,0,29.8303,79211476,1872,TIMEOUT
dense,8,64,12968,0,29.8284,74077376,2066,TIMEOUT
dense,16,1,0,0,29.8271,766284,99,TIMEOUT
dense,16,8,TIMEOUT,,,5141368,775,TIMEOUT
dense,16,16,TIMEOUT,,,8390252,1511,TIMEOUT
dense,16,32,TIMEOUT,,,25830648,2773,TIMEOUT
dense,16,48,TIMEOUT,,,34990840,3694,TIMEOUT
dense,16,64,29.8491,TIMEOUT,,47241116,4197,TIMEOUT
dense,24,1,1335680,0,29.8513,20077828,99,TIMEOUT
dense,24,8,31774,0,29.819,264421180,458,TIMEOUT
dense,24,16,TIMEOUT,,,151979268,792,TIMEOUT
dense,24,32,2431,0,29.7903,82140964,1389,TIMEOUT
dense,24,48,1853,0,29.7937,76968180,1786,TIMEOUT
dense,24,64,853,0,29.8108,74362072,1992,TIMEOUT
dense,32,1,0,0,29.8314,704964,99,TIMEOUT
dense,32,8,TIMEOUT,,,2852024,788,TIMEOUT
dense,32,16,TIMEOUT,,,3661724,1560,TIMEOUT
dense,32,32,29.8457,TIMEOUT,,15207104,3014,TIMEOUT
