Type,Size,Threads,Solutions,FirstTime_s,TotalTime_s,Status
sparse,8,1,1656058,0,29.7971,TIMEOUT
sparse,8,8,29.7725,TIMEOUT,,TIMEOUT
sparse,8,16,30579,0,29.8236,TIMEOUT
sparse,8,32,19334,0,29.765,TIMEOUT
sparse,8,48,20364,0,29.7362,TIMEOUT
sparse,8,64,17161,0,29.8262,TIMEOUT
sparse,16,1,0,0,29.8217,TIMEOUT
sparse,16,8,4895,0,30.0225,TIMEOUT
sparse,16,16,575,0,29.8181,TIMEOUT
sparse,16,32,5964,0,29.822,TIMEOUT
sparse,16,48,578,0,29.7878,TIMEOUT
sparse,16,64,375,0,29.789,TIMEOUT
sparse,24,1,0,0,29.7936,TIMEOUT
sparse,24,8,2016920169,0,0,TIMEOUT
sparse,24,16,1063,0,29.823,TIMEOUT
sparse,24,32,1018,0,29.8186,TIMEOUT
