Type,Size,Threads,Solutions,FirstTime_s,TotalTime_s,Status
sparse,8,1,1673633,0,29.7944,ERROR
sparse,8,8,TIMEOUT,,,ERROR
sparse,8,16,TIMEOUT,,,ERROR
sparse,8,32,46489,0,29.7926,ERROR
sparse,8,48,26501,0,29.797,ERROR
sparse,8,64,15390,0,29.7953,ERROR
sparse,16,1,0,0,29.7965,ERROR
sparse,16,8,,,,ERROR
sparse,16,16,29.8223,TIMEOUT,,ERROR
sparse,16,32,2186,0,29.793,ERROR
sparse,16,48,782,0,29.7798,ERROR
sparse,16,64,29.7721,TIMEOUT,,ERROR
sparse,24,1,0,0,29.7884,ERROR
sparse,24,8,,,,ERROR
sparse,24,16,3059,0,29.7695,ERROR
sparse,24,32,97,0,29.7982,ERROR
sparse,24,48,2244,0,29.785,ERROR
sparse,24,64,128,0,29.8238,ERROR
sparse,32,1,710,0,29.7841,ERROR
sparse,32,8,TIMEOUT,,,ERROR
sparse,32,16,29.7728,TIMEOUT,,ERROR
sparse,32,32,74,0,29.7773,ERROR
sparse,32,48,58,0,29.7796,ERROR
sparse,32,64,28,0,29.8213,ERROR
dense,8,1,1365218,0,29.7834,ERROR
dense,8,8,29.8531,TIMEOUT,,ERROR
dense,8,16,142781,0,29.81,ERROR
dense,8,32,,,,ERROR
dense,8,48,14369,0,29.8105,ERROR
