Type,Size,Threads,Solutions,Time_s,Status
sparse,8,1,1727856,30,TIMEOUT
sparse,8,8,98591119859123,30,TIMEOUT
sparse,8,16,21602,30,TIMEOUT
sparse,8,32,25832,30,TIMEOUT
sparse,8,48,19807,30,TIMEOUT
sparse,8,64,19139,30,TIMEOUT
sparse,16,1,0,30,TIMEOUT
sparse,16,8,13669,30,TIMEOUT
sparse,16,16,1441,30,TIMEOUT
sparse,16,32,3213,30,TIMEOUT
sparse,16,48,723,30,TIMEOUT
sparse,16,64,484,30,TIMEOUT
sparse,24,1,0,30,TIMEOUT
sparse,24,8,7523,30,TIMEOUT
sparse,24,16,502,30,TIMEOUT
sparse,24,32,766,30,TIMEOUT
sparse,24,48,151,30,TIMEOUT
sparse,24,64,1083,30,TIMEOUT
sparse,32,1,726,30,TIMEOUT
sparse,32,8,,30,TIMEOUT
sparse,32,16,,30,TIMEOUT
sparse,32,32,92,30,TIMEOUT
sparse,32,48,64,30,TIMEOUT
sparse,32,64,40,30,TIMEOUT
dense,8,1,1390467,30,TIMEOUT
dense,8,8,7469151,30,TIMEOUT
dense,8,16,253995253995,30,TIMEOUT
dense,8,1,1375913,30,TIMEOUT
dense,8,8,8402569,30,TIMEOUT
