Dataset,Type,Size,Threads,TimeLimit_s,Solutions,FirstTime_s,TotalTime_s,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults,Status
roadNet,sparse,8,1,10,0,0,7.70053,18043536,99,6,4533010,TIMEOUT
roadNet,sparse,8,8,10,0,0,0,1308756,625,6536,1356601,TIMEOUT
roadNet,sparse,8,16,10,0,0,0,1293588,1237,7084,1560342,TIMEOUT
roadNet,sparse,8,32,10,0,0,0,1270752,2462,2276,2597424,TIMEOUT
roadNet,sparse,8,48,10,0,0,0,1247828,3696,2392,2413191,TIMEOUT
roadNet,sparse,8,64,10,0,0,0,1217484,5141,2492,2662269,TIMEOUT
roadNet,sparse,16,1,10,0,0,8.10857,19133864,99,4,4805571,TIMEOUT
roadNet,sparse,16,8,10,0,0,0,1232600,659,11137,1345818,TIMEOUT
roadNet,sparse,16,16,10,0,0,0,1224824,1243,10054,1270861,TIMEOUT
roadNet,sparse,16,32,10,0,0,0,1209640,2584,2735,2727415,TIMEOUT
roadNet,sparse,16,48,10,0,0,8.11063,1194472,3870,2410,2418100,TIMEOUT
roadNet,sparse,16,64,10,00,0,0,1171540,5153,2650,2296376,TIMEOUT
roadNet,sparse,24,1,10,0,0,8.12043,19472824,99,4,4890336,TIMEOUT
roadNet,sparse,24,8,10,00,0,0,1240116,658,6096,2403936,TIMEOUT
roadNet,sparse,24,16,10,0,0,8.10154,1232476,1300,5500,2214238,TIMEOUT
roadNet,sparse,24,32,10,0,0,0,1209492,2483,2815,2811154,TIMEOUT
roadNet,sparse,24,48,10,0,0,0,1194564,3862,2758,2798154,TIMEOUT
roadNet,sparse,24,64,10,0,0,0,1171580,5155,2982,2377188,TIMEOUT
roadNet,sparse,32,1,10,0,0,8.10886,19446212,99,4,4883660,TIMEOUT
roadNet,sparse,32,8,10,0,0,10,0,0,0,0,TIMEOUT
