Dataset,Type,Size,Threads,TimeLimit_s,Solutions,FirstTime_s,TotalTime_s,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults,Status
roadNet,sparse,8,1,10,0,0,7.66011,18360684,99,4,4612290,TIMEOUT
roadNet,sparse,8,8,10,0,0,0,1308848,626,2725,2941522,TIMEOUT
roadNet,sparse,8,16,10,0,0,0,1293456,1299,8366,1740129,TIMEOUT
roadNet,sparse,8,32,10,0,0,0,1270748,2578,282,473474,TIMEOUT
roadNet,sparse,8,48,10,0,0,8.10628,1247788,3859,6370,1395995,TIMEOUT
roadNet,sparse,8,64,10,0,0,0,1217472,5134,2353,2419710,TIMEOUT
roadNet,sparse,16,1,10,0,0,8.10546,19373076,99,4,4865383,TIMEOUT
roadNet,sparse,16,8,10,0,0,0,1232604,658,11084,1532571,TIMEOUT
roadNet,sparse,16,16,10,0,0,0,1224864,1235,10667,1387693,TIMEOUT
roadNet,sparse,16,32,10,0,0,0,1209636,2477,2686,2584807,TIMEOUT
roadNet,sparse,16,48,10,0,0,0,1194504,3865,2620,2615260,TIMEOUT
roadNet,sparse,16,64,10,0,0,0,1171472,5145,2635,2280707,TIMEOUT
roadNet,sparse,24,1,10,0,0,8.10927,19391352,99,4,4869967,TIMEOUT
roadNet,sparse,24,8,10,0,0,0,1247760,657,6114,2539291,TIMEOUT
roadNet,sparse,24,16,10,0,0,0,1232520,1299,3626,3108191,TIMEOUT
roadNet,sparse,24,32,10,0,0,0,1209556,2582,3085,2903891,TIMEOUT
roadNet,sparse,24,48,10,0,0,0,1194508,3869,3102,2664190,TIMEOUT
roadNet,sparse,24,64,10,0,0,0,1171616,5147,3083,2535336,TIMEOUT
roadNet,sparse,32,1,10,0,0,8.10749,19391556,100,4,4870016,TIMEOUT
roadNet,sparse,32,16,10,0,0,8.09867,1354700,1300,9893,811506,TIMEOUT
roadNet,sparse,32,32,10,0,0,0,1324348,2465,3861,2031361,TIMEOUT
roadNet,sparse,32,48,10,00,0,0,1293724,3867,3451,1787173,TIMEOUT
roadNet,sparse,32,64,10,0,0,0,1255456,5141,3890,1684197,TIMEOUT
roadNet,dense,8,1,10,0,0,8.10259,19382728,99,4,4867807,TIMEOUT
roadNet,dense,8,8,10,0,0,10,32500900,0,61544,21176575,TIMEOUT
roadNet,dense,8,16,10,10688,0,7.63333,26048776,963,173912,25559840,TIMEOUT
roadNet,dense,8,32,10,14097,0,8.08195,17185360,1757,348306,27667852,TIMEOUT
roadNet,dense,8,48,10,11241,0,7.48186,7079168,2286,294336,14199993,TIMEOUT
roadNet,dense,8,64,10,9780,0,7.58305,6029788,2960,327255,12249745,TIMEOUT
roadNet,dense,8,16,10,0,0,10,0,0,0,0,TIMEOUT
roadNet,dense,16,1,10,0,0,10,6754908,99,3,1710912,TIMEOUT
