Query,Threads,Solutions,FirstTime_s,TotalTime_s,Status
bvg1,1,8,2.36721e-05,5.24028e-05,OK
bvg1_2,1,0,-1.76334e+09,1.66492e-08,OK
bvg1_3,1,0,-1.76334e+09,1.97387e-08,OK
bvg1_4,1,0,-1.76334e+09,1.95261e-08,OK
bvg2,1,1,5.77399e-05,6.0003e-05,OK
bvg3,1,25,4.43303e-05,0.000285485,OK
m2d1,1,5,4.33676e-05,0.00013502,OK
m2d2,1,1,1.61828e-05,1.85726e-05,OK
rand1,1,3,4.02835e-05,4.7595e-05,OK
rand2,1,5,1.4972e-05,2.1454e-05,OK
rand3,1,36,6.26199e-05,0.000158931,OK
rand4,1,1,1.06287,1.69549,OK
rnd_ldg1,1,0,0,29.2027,OK
si2_b03_m400_37,1,1,0.00032513,0.000488548,OK
si2_b03m_m800_22,1,22585672,0,29.9889,OK
si2_b06m_m400_96,1,10080,0.000112871,0.0143414,OK
si2_b09m_m400_01,1,0,-1.76334e+09,1.95145e-08,OK
si2_rnd_eta04_m1000_00,1,0,0,29.8602,OK
